model_version,dataset_name,model_size,dataset_size,execution_time,load_time,B-PER_precision,B-PER_recall,B-PER_f1,I-PER_precision,I-PER_recall,I-PER_f1,overall_precision,overall_recall,overall_f1
version-2-roberta-base,NYT_corr2,124057347,864,2.9602150917053223,0.865462064743042,0.8495370370370371,0.9197994987468672,0.8832731648616124,0.8495370370370371,0.9197994987468672,0.8832731648616124,0.0,0.0,0.0
version-2-roberta-base,NYT_corr3,124057347,573,2.00596284866333,0.865462064743042,0.8903654485049833,0.9241379310344827,0.9069373942470389,0.8903654485049833,0.9241379310344827,0.9069373942470389,0.0,0.0,0.0
version-2-roberta-base,ritter.txt,124057347,801,2.4915804862976074,0.865462064743042,0.3791208791208791,0.773109243697479,0.5087557603686635,0.3791208791208791,0.773109243697479,0.5087557603686635,0.0,0.0,0.0
version-2-roberta-base,WNUT.conll,124057347,2868,7.388672351837158,0.865462064743042,0.4317673378076063,0.7788539144471348,0.5555555555555556,0.4317673378076063,0.7788539144471348,0.5555555555555556,0.0,0.0,0.0
version-3-roberta-base,a.conll,124057347,424,1.7430987358093262,0.449845552444458,0.6196581196581197,0.847953216374269,0.7160493827160492,0.6196581196581197,0.847953216374269,0.7160493827160492,0.0,0.0,0.0
version-3-roberta-base,b.conll,124057347,1238,3.4959359169006348,0.449845552444458,0.7536423841059603,0.8780864197530864,0.8111190306486101,0.7536423841059603,0.8780864197530864,0.8111190306486101,0.0,0.0,0.0
version-3-roberta-base,conllpp_train.txt,124057347,10492,21.806663036346436,0.449845552444458,0.9639049934542734,0.9759515243325128,0.9698908543470078,0.9639049934542734,0.9759515243325128,0.9698908543470078,0.0,0.0,0.0
version-3-roberta-base,e.conll,124057347,98,1.0198867321014404,0.449845552444458,0.5853658536585366,0.75,0.6575342465753423,0.5853658536585366,0.75,0.6575342465753423,0.0,0.0,0.0
version-3-roberta-base,f.conll,124057347,1600,4.439073801040649,0.449845552444458,0.8378600823045268,0.7971808927173062,0.8170144462279293,0.8378600823045268,0.7971808927173062,0.8170144462279293,0.0,0.0,0.0
version-3-roberta-base,g.conll,124057347,1710,4.54776930809021,0.449845552444458,0.8644818423383526,0.873769024171889,0.869100623330365,0.8644818423383526,0.873769024171889,0.869100623330365,0.0,0.0,0.0
version-3-roberta-base,h.conll,124057347,1600,4.245112657546997,0.449845552444458,0.697751873438801,0.7383259911894273,0.7174657534246577,0.697751873438801,0.7383259911894273,0.7174657534246577,0.0,0.0,0.0
version-3-roberta-base,KAGGLE.csv,124057347,31382,65.38951230049133,0.449845552444458,0.8099024213950127,0.8327759197324415,0.8211799193843898,0.8099024213950127,0.8327759197324415,0.8211799193843898,0.0,0.0,0.0
version-3-roberta-base,NYT_corr2,124057347,864,2.7005910873413086,0.449845552444458,0.9140811455847255,0.9598997493734336,0.9364303178484108,0.9140811455847255,0.9598997493734336,0.9364303178484108,0.0,0.0,0.0
